Date/Time,leaf_number,leaf_position,current,power,voltage,,condition,current,power,voltage
Sat Nov 23 12:23:23 2019,zero,nan,1.2,15.91,13.25,,normal,1.16,15.95,13.67
Sat Nov 23 12:23:24 2019,zero,nan,1.2,15.92,13.22,,normal,1.16,15.95,13.66
Sat Nov 23 12:23:25 2019,zero,nan,1.21,16.04,13.25,,normal,1.15,15.83,13.67
Sat Nov 23 12:23:26 2019,zero,nan,1.2,15.92,13.25,,normal,1.15,15.83,13.68
Sat Nov 23 12:23:27 2019,zero,nan,1.21,16.04,13.25,,normal,1.15,15.83,13.67
Sat Nov 23 12:23:28 2019,zero,nan,1.21,16.04,13.24,,normal,1.15,15.81,13.67
Sat Nov 23 12:23:29 2019,zero,nan,1.2,15.92,13.24,,normal,1.16,15.95,13.67
Sat Nov 23 12:23:30 2019,zero,nan,1.22,16.17,13.22,,normal,1.16,15.94,13.68
Sat Nov 23 12:23:31 2019,zero,nan,1.21,16.04,13.23,,normal,1.16,15.95,13.67
Sat Nov 23 12:23:32 2019,zero,nan,1.21,16.17,13.26,,normal,1.15,15.81,13.67
Sat Nov 23 12:23:33 2019,zero,nan,1.21,16.17,13.26,,normal,1.17,16.08,13.68
Sat Nov 23 12:23:34 2019,zero,nan,1.22,16.17,13.24,,normal,1.18,16.21,13.66
Sat Nov 23 12:23:35 2019,zero,nan,1.23,16.29,13.22,,normal,1.18,16.21,13.69
Sat Nov 23 12:23:36 2019,zero,nan,1.21,16.17,13.26,,normal,1.18,16.21,13.67
Sat Nov 23 12:23:37 2019,zero,nan,1.23,16.29,13.23,,normal,1.17,16.08,13.68
Sat Nov 23 12:23:38 2019,zero,nan,1.23,16.29,13.23,,normal,1.17,16.08,13.66
Sat Nov 23 12:23:39 2019,zero,nan,1.22,16.29,13.25,,normal,1.18,16.21,13.69
Sat Nov 23 12:23:40 2019,zero,nan,1.22,16.29,13.25,,normal,1.19,16.34,13.68
Sat Nov 23 12:23:41 2019,zero,nan,1.22,16.17,13.23,,normal,1.18,16.21,13.67
Sat Nov 23 12:23:42 2019,zero,nan,1.22,16.29,13.25,,normal,1.18,16.21,13.7
Sat Nov 23 12:23:43 2019,zero,nan,1.23,16.29,13.22,,normal,1.18,16.21,13.68
Sat Nov 23 12:23:44 2019,zero,nan,1.23,16.29,13.23,,normal,1.18,16.21,13.67
Sat Nov 23 12:23:45 2019,zero,nan,1.22,16.29,13.26,,normal,1.19,16.34,13.69
Sat Nov 23 12:23:46 2019,zero,nan,1.22,16.17,13.23,,normal,1.18,16.21,13.67
Sat Nov 23 12:23:47 2019,zero,nan,1.22,16.17,13.24,,normal,1.17,16.08,13.69
Sat Nov 23 12:23:48 2019,zero,nan,1.23,16.29,13.24,,normal,1.17,16.08,13.67
Sat Nov 23 12:23:49 2019,zero,nan,1.23,16.3,13.25,,normal,1.17,16.08,13.68
Sat Nov 23 12:23:50 2019,zero,nan,1.23,16.42,13.25,,normal,1.18,16.21,13.69
Sat Nov 23 12:23:51 2019,zero,nan,1.23,16.42,13.26,,normal,1.17,16.1,13.66
Sat Nov 23 12:23:52 2019,zero,nan,1.23,16.42,13.25,,normal,1.18,16.21,13.67
Sat Nov 23 12:23:53 2019,zero,nan,1.23,16.43,13.29,,normal,1.17,16.08,13.68
Sat Nov 23 12:23:54 2019,zero,nan,1.24,16.42,13.23,,normal,1.18,16.21,13.69
Sat Nov 23 12:23:55 2019,zero,nan,1.23,16.42,13.25,,normal,1.18,16.21,13.67
Sat Nov 23 12:23:56 2019,zero,nan,1.23,16.42,13.25,,normal,1.18,16.21,13.69
Sat Nov 23 12:23:57 2019,zero,nan,1.25,16.55,13.23,,normal,1.19,16.34,13.71
Sat Nov 23 12:23:58 2019,zero,nan,1.22,16.3,13.27,,normal,1.18,16.22,13.69
Sat Nov 23 12:23:59 2019,zero,nan,1.22,16.3,13.27,,normal,1.19,16.34,13.69
Sat Nov 23 12:24:00 2019,zero,nan,1.23,16.43,13.27,,normal,1.18,16.21,13.66
Sat Nov 23 12:24:01 2019,zero,nan,1.24,16.43,13.25,,normal,1.19,16.34,13.69
Sat Nov 23 12:24:02 2019,zero,nan,1.24,16.43,13.25,,normal,1.18,16.22,13.68
Sat Nov 23 12:24:03 2019,zero,nan,1.24,16.55,13.27,,normal,1.18,16.21,13.69
Sat Nov 23 12:24:04 2019,zero,nan,1.24,16.55,13.25,,normal,1.19,16.35,13.67
Sat Nov 23 12:24:05 2019,zero,nan,1.25,16.55,13.24,,normal,1.19,16.35,13.67
Sat Nov 23 12:24:06 2019,zero,nan,1.24,16.55,13.25,,normal,1.18,16.21,13.7
Sat Nov 23 12:24:07 2019,zero,nan,1.25,16.55,13.24,,normal,1.18,16.22,13.69
Sat Nov 23 12:24:08 2019,zero,nan,1.26,16.68,13.24,,normal,1.18,16.21,13.69
Sat Nov 23 12:24:09 2019,zero,nan,1.24,16.55,13.26,,normal,1.18,16.21,13.68
Sat Nov 23 12:24:10 2019,zero,nan,1.25,16.68,13.25,,normal,1.19,16.35,13.68
Sat Nov 23 12:24:11 2019,zero,nan,1.25,16.68,13.26,,normal,1.19,16.35,13.68
Sat Nov 23 12:24:13 2019,zero,nan,1.25,16.68,13.25,,normal,1.2,16.48,13.69
Sat Nov 23 12:24:14 2019,zero,nan,1.26,16.8,13.24,,normal,1.2,16.48,13.67
Sat Nov 23 12:24:15 2019,zero,nan,1.27,16.82,13.24,,normal,1.19,16.35,13.68
Sat Nov 23 12:24:16 2019,zero,nan,1.26,16.68,13.24,,normal,1.19,16.35,13.67
Sat Nov 23 12:24:17 2019,zero,nan,1.26,16.8,13.29,,normal,1.2,16.48,13.69
Sat Nov 23 12:24:18 2019,zero,nan,1.26,16.8,13.27,,normal,1.19,16.35,13.69
Sat Nov 23 12:24:19 2019,zero,nan,1.26,16.8,13.27,,normal,1.19,16.35,13.67
Sat Nov 23 12:24:20 2019,zero,nan,1.27,16.93,13.28,,normal,1.2,16.47,13.69
Sat Nov 23 12:24:21 2019,zero,nan,1.27,16.93,13.29,,normal,1.2,16.47,13.68
Sat Nov 23 12:24:22 2019,zero,nan,1.27,16.93,13.25,,normal,1.2,16.48,13.71
Sat Nov 23 12:24:23 2019,zero,nan,1.27,16.94,13.27,,normal,1.19,16.35,13.69
Sat Nov 23 12:24:24 2019,zero,nan,1.27,16.93,13.27,,normal,1.2,16.48,13.69
Sat Nov 23 12:24:25 2019,zero,nan,1.25,16.68,13.25,,normal,1.19,16.35,13.69
Sat Nov 23 12:24:26 2019,zero,nan,1.26,16.8,13.25,,normal,1.19,16.35,13.69
Sat Nov 23 12:24:27 2019,zero,nan,1.27,16.94,13.25,,normal,1.2,16.48,13.68
Sat Nov 23 12:24:28 2019,zero,nan,1.25,16.68,13.25,,normal,1.19,16.35,13.67
Sat Nov 23 12:24:29 2019,zero,nan,1.27,16.93,13.25,,normal,1.19,16.35,13.7
Sat Nov 23 12:24:30 2019,zero,nan,1.27,16.93,13.25,,normal,1.19,16.35,13.68
Sat Nov 23 12:24:31 2019,zero,nan,1.27,16.93,13.26,,normal,1.2,16.48,13.67
Sat Nov 23 12:24:32 2019,zero,nan,1.27,16.94,13.28,,normal,1.2,16.48,13.69
Sat Nov 23 12:24:33 2019,zero,nan,1.27,16.93,13.26,,normal,1.21,16.61,13.69
Sat Nov 23 12:24:34 2019,zero,nan,1.27,16.94,13.27,,normal,1.2,16.48,13.69
Sat Nov 23 12:24:35 2019,zero,nan,1.28,17.07,13.26,,normal,1.21,16.61,13.71
Sat Nov 23 12:24:36 2019,zero,nan,1.27,16.94,13.29,,normal,1.2,16.48,13.68
Sat Nov 23 12:24:37 2019,zero,nan,1.27,16.94,13.24,,normal,1.21,16.61,13.72
Sat Nov 23 12:24:38 2019,zero,nan,1.26,16.8,13.26,,normal,1.21,16.61,13.69
