Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Thu Nov 21 11:04:06 2019,partial_shading,0.22,22.79,103,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:07 2019,partial_shading,0.22,22.67,102.96,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:08 2019,partial_shading,0.22,22.67,102.92,,full_shading,0.20,2.73,13.49
Thu Nov 21 11:04:09 2019,partial_shading,0.22,22.67,102.92,,full_shading,0.20,2.73,13.53
Thu Nov 21 11:04:10 2019,partial_shading,0.22,22.92,102.54,,full_shading,0.20,2.73,13.54
Thu Nov 21 11:04:11 2019,partial_shading,0.22,23.41,102.69,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:12 2019,partial_shading,0.21,21.91,102.78,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:04:13 2019,partial_shading,0.21,21.78,103.17,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:14 2019,partial_shading,0.21,21.78,102.74,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:15 2019,partial_shading,0.21,21.68,102.71,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:16 2019,partial_shading,0.21,22.03,102.78,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:17 2019,partial_shading,0.21,21.66,103.08,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:04:19 2019,partial_shading,0.2,21.52,103.07,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:20 2019,partial_shading,0.2,21.41,103.09,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:04:21 2019,partial_shading,0.2,21.41,103.09,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:22 2019,partial_shading,0.21,21.77,103.1,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:04:23 2019,partial_shading,0.2,21.52,103.08,,full_shading,0.19,2.6,13.51
Thu Nov 21 11:04:24 2019,partial_shading,0.21,21.66,103.1,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:04:25 2019,partial_shading,0.21,21.66,103.13,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:26 2019,partial_shading,0.2,20.79,102.49,,full_shading,0.19,2.6,13.52
Thu Nov 21 11:04:27 2019,partial_shading,0.21,21.91,101.87,,full_shading,0.21,2.85,13.54
Thu Nov 21 11:04:28 2019,partial_shading,0.21,22.16,102.36,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:29 2019,partial_shading,0.19,20.28,105.48,,full_shading,0.19,2.6,13.5
Thu Nov 21 11:04:30 2019,partial_shading,0.2,21.04,105.21,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:31 2019,partial_shading,0.2,21.29,105.26,,full_shading,0.20,2.73,13.51
