Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Tue Nov 26 12:49:26 2019,normal,1.14,15.45,13.48,,dust,1.04,14.44,13.81
Tue Nov 26 12:49:27 2019,normal,1.19,16.09,13.49,,dust,1.05,14.57,13.8
Tue Nov 26 12:49:28 2019,normal,1.13,15.34,13.49,,dust,1.03,14.31,13.82
Tue Nov 26 12:49:29 2019,normal,1.1,14.95,13.47,,dust,1.04,14.44,13.81
Tue Nov 26 12:49:30 2019,normal,1.12,15.21,13.51,,dust,1.05,14.57,13.81
Tue Nov 26 12:49:31 2019,normal,1.21,16.35,13.47,,dust,1.03,14.3,13.82
Tue Nov 26 12:49:32 2019,normal,1.19,16.1,13.46,,dust,1.04,14.43,13.81
Tue Nov 26 12:49:33 2019,normal,1.1,14.95,13.47,,dust,1.05,14.57,13.81
Tue Nov 26 12:49:34 2019,normal,1.19,16.09,13.49,,dust,1.04,14.43,13.8
Tue Nov 26 12:49:36 2019,normal,1.1,14.96,13.48,,dust,1.03,14.3,13.82
Tue Nov 26 12:49:37 2019,normal,1.1,14.96,13.49,,dust,1.03,14.31,13.84
Tue Nov 26 12:49:38 2019,normal,1.19,16.09,13.49,,dust,1.04,14.43,13.81
Tue Nov 26 12:49:39 2019,normal,1.23,16.59,13.46,,dust,1.03,14.31,13.82
Tue Nov 26 12:49:40 2019,normal,1.12,15.2,13.47,,dust,1.04,14.44,13.79
Tue Nov 26 12:49:41 2019,normal,1.19,16.09,13.47,,dust,1.04,14.45,13.79
Tue Nov 26 12:49:42 2019,normal,1.19,16.09,13.49,,dust,1.04,14.44,13.81
Tue Nov 26 12:49:43 2019,normal,1.16,15.71,13.49,,dust,1.04,14.44,13.81
Tue Nov 26 12:49:44 2019,normal,1.2,16.23,13.49,,dust,1.04,14.44,13.79
Tue Nov 26 12:49:45 2019,normal,1.18,15.96,13.48,,dust,1.04,14.44,13.81
Tue Nov 26 12:49:46 2019,normal,1.22,16.48,13.49,,dust,1.02,14.18,13.82
Tue Nov 26 12:49:47 2019,normal,1.18,15.97,13.49,,dust,1.04,14.44,13.82
Tue Nov 26 12:49:48 2019,normal,1.16,15.71,13.47,,dust,1.03,14.31,13.83
Tue Nov 26 12:49:49 2019,normal,1.15,15.59,13.49,,dust,1.03,14.31,13.82
Tue Nov 26 12:49:50 2019,normal,1.19,16.1,13.49,,dust,1.03,14.31,13.81
Tue Nov 26 12:49:51 2019,normal,1.1,14.95,13.48,,dust,1.02,14.18,13.8
Tue Nov 26 12:49:52 2019,normal,1.18,15.96,13.45,,dust,1.04,14.44,13.83
Tue Nov 26 12:49:53 2019,normal,1.22,16.48,13.47,,dust,1.04,14.44,13.84
Tue Nov 26 12:49:54 2019,normal,1.2,16.21,13.48,,dust,1.04,14.44,13.83
Tue Nov 26 12:49:55 2019,normal,1.2,16.23,13.49,,dust,1.04,14.44,13.81
Tue Nov 26 12:49:56 2019,normal,1.19,16.09,13.47,,dust,1.04,14.44,13.8
Tue Nov 26 12:49:57 2019,normal,1.12,15.21,13.48,,dust,1.03,14.31,13.81
Tue Nov 26 12:49:58 2019,normal,1.21,16.35,13.47,,dust,1.03,14.31,13.81
Tue Nov 26 12:49:59 2019,normal,1.2,16.21,13.47,,dust,1.04,14.44,13.81
Tue Nov 26 12:50:00 2019,normal,1.21,16.35,13.49,,dust,1.03,14.3,13.81
