Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Mon Nov 25 13:42:00 2019,normal,0.73,69.2,93.76,,water,0.74,41.47,55.53
Mon Nov 25 13:42:01 2019,normal,0.73,68.66,93.74,,water,0.72,40.79,56.13
Mon Nov 25 13:42:02 2019,normal,0.73,69.2,93.8,,water,0.7,39.88,56.68
Mon Nov 25 13:42:03 2019,normal,0.7,65.9,93.62,,water,0.72,41.18,56.83
Mon Nov 25 13:42:04 2019,normal,0.73,68.52,93.38,,water,0.72,41.44,56.95
Mon Nov 25 13:42:05 2019,normal,0.72,69.07,94.82,,water,0.71,40.92,56.94
Mon Nov 25 13:42:06 2019,normal,0.72,69.2,94.85,,water,0.69,39.49,56.94
Mon Nov 25 13:42:07 2019,normal,0.72,69.07,94.84,,water,0.71,40.4,56.8
Mon Nov 25 13:42:08 2019,normal,0.72,68.79,94.84,,water,0.71,40.27,56.52
Mon Nov 25 13:42:09 2019,normal,0.72,68.93,94.82,,water,0.7,39.62,56.52
Mon Nov 25 13:42:10 2019,normal,0.72,68.74,94.82,,water,0.69,39.07,56.38
Mon Nov 25 13:42:11 2019,normal,0.72,68.52,94.81,,water,0.7,39.62,56.37
Mon Nov 25 13:42:12 2019,normal,0.72,68.79,94.81,,water,0.68,38.94,56.5
Mon Nov 25 13:42:13 2019,normal,0.72,68.85,94.84,,water,0.67,38.17,56.62
Mon Nov 25 13:42:14 2019,normal,0.72,68.39,94.87,,water,0.68,37.78,55.55
Mon Nov 25 13:42:15 2019,normal,0.72,68.66,95.18,,water,0.69,38.82,55.67
Mon Nov 25 13:42:16 2019,normal,0.71,68.25,94.82,,water,0.69,38.56,55.67
Mon Nov 25 13:42:17 2019,normal,0.71,68.25,94.81,,water,0.67,37.65,55.92
Mon Nov 25 13:42:18 2019,normal,0.72,68.52,94.83,,water,0.65,36.62,55.87
Mon Nov 25 13:42:19 2019,normal,0.72,68.93,94.85,,water,0.68,38.01,55.9
Mon Nov 25 13:42:20 2019,normal,0.72,69.25,94.91,,water,0.67,38.43,56.74
Mon Nov 25 13:42:21 2019,normal,0.72,68.66,94.86,,water,0.67,38.43,56.72
Mon Nov 25 13:42:22 2019,normal,0.72,69.12,94.86,,water,0.66,38.04,56.85
Mon Nov 25 13:42:23 2019,normal,0.72,68.98,94.89,,water,0.67,38.43,56.99
Mon Nov 25 13:42:24 2019,normal,0.72,68.66,94.85,,water,0.66,37.91,56.99
Mon Nov 25 13:42:25 2019,normal,0.72,69.07,94.87,,water,0.68,38.82,56.7
Mon Nov 25 13:42:26 2019,normal,0.72,68.66,94.88,,water,0.67,38.3,56.7
Mon Nov 25 13:42:27 2019,normal,0.72,68.98,94.86,,water,0.67,38.17,56.97
Mon Nov 25 13:42:28 2019,normal,0.72,68.52,94.83,,water,0.65,37.26,56.84
Mon Nov 25 13:42:29 2019,normal,0.72,68.44,94.84,,water,0.66,38.01,56.96
Mon Nov 25 13:42:30 2019,normal,0.72,68.39,94.85,,water,0.63,36.33,56.93
Mon Nov 25 13:42:31 2019,normal,0.72,68.44,94.84,,water,0.64,36.59,56.9
