Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Mon Nov 25 13:38:14 2019,normal,0.74,70.17,93.98,,water,0.94,51.61,54.39
Mon Nov 25 13:38:15 2019,normal,0.73,69.44,94.67,,water,0.94,51.61,54.39
Mon Nov 25 13:38:16 2019,normal,0.75,70.17,92.6,,water,0.94,51.35,54.62
Mon Nov 25 13:38:17 2019,normal,0.71,67.13,94.53,,water,0.94,52.26,55.06
Mon Nov 25 13:38:18 2019,normal,0.75,70.26,92.95,,water,0.95,52.65,55.17
Mon Nov 25 13:38:19 2019,normal,0.75,70.26,93.63,,water,0.93,51.22,54.78
Mon Nov 25 13:38:20 2019,normal,0.75,70.44,93.67,,water,0.93,51.12,54.79
Mon Nov 25 13:38:21 2019,normal,0.74,70.17,93.65,,water,0.94,52.04,54.79
Mon Nov 25 13:38:22 2019,normal,0.74,69.49,93.59,,water,0.93,51.9,55.3
Mon Nov 25 13:38:23 2019,normal,0.74,70.17,93.64,,water,0.92,51.64,55.69
Mon Nov 25 13:38:24 2019,normal,0.74,69.98,93.63,,water,0.93,52.69,56.52
Mon Nov 25 13:38:25 2019,normal,0.74,70.17,93.63,,water,0.92,52.3,56.35
Mon Nov 25 13:38:26 2019,normal,0.74,70.04,93.63,,water,0.92,52.3,56.38
Mon Nov 25 13:38:27 2019,normal,0.74,69.85,93.61,,water,0.94,53.47,56.65
Mon Nov 25 13:38:28 2019,normal,0.73,69.08,93.58,,water,0.91,52.99,57.76
Mon Nov 25 13:38:29 2019,normal,0.72,67.76,93.5,,water,0.91,53.21,57.91
Mon Nov 25 13:38:30 2019,normal,0.73,68.62,93.9,,water,0.92,53.64,57.91
Mon Nov 25 13:38:31 2019,normal,0.75,71.4,94.02,,water,0.92,53.21,57.64
Mon Nov 25 13:38:32 2019,normal,0.73,69.71,94.3,,water,0.94,54.64,57.93
Mon Nov 25 13:38:33 2019,normal,0.73,69.17,94.27,,water,0.92,53.77,57.92
Mon Nov 25 13:38:34 2019,normal,0.72,67.76,93.5,,water,0.94,54.81,58.19
Mon Nov 25 13:38:35 2019,normal,0.72,67.62,93.48,,water,0.91,53.38,58.21
Mon Nov 25 13:38:36 2019,normal,0.72,68.03,94.21,,water,0.91,53.64,58.46
Mon Nov 25 13:38:37 2019,normal,0.72,68.03,94.18,,water,0.92,54.03,58.5
Mon Nov 25 13:38:38 2019,normal,0.72,67.62,93.82,,water,0.93,54.68,58.48
Mon Nov 25 13:38:39 2019,normal,0.71,68.3,94.9,,water,0.91,53.51,58.22
Mon Nov 25 13:38:40 2019,normal,0.71,68.17,94.91,,water,0.93,54.81,58.37
Mon Nov 25 13:38:41 2019,normal,0.7,67.67,95.58,,water,0.94,55.2,58.24
Mon Nov 25 13:38:42 2019,normal,0.72,66.94,92.39,,water,0.92,55.24,59.41
Mon Nov 25 13:38:43 2019,normal,0.71,68.03,95.27,,water,0.93,55.33,59.4
Mon Nov 25 13:38:44 2019,normal,0.71,68.08,95.27,,water,0.94,55.76,59.1
Mon Nov 25 13:38:45 2019,normal,0.72,68.57,94.92,,water,0.94,55.89,59.13
Mon Nov 25 13:38:46 2019,normal,0.72,68.62,94.92,,water,0.94,56.28,59.27
Mon Nov 25 13:38:47 2019,normal,0.72,68.35,94.21,,water,0.94,56.68,59.73
Mon Nov 25 13:38:48 2019,normal,0.72,68.3,94.18,,water,0.92,56.41,60.67
Mon Nov 25 13:38:49 2019,normal,0.69,66.81,95.93,,water,0.93,56.24,60.35
Mon Nov 25 13:38:50 2019,normal,0.72,68.03,94.18,,water,0.94,56.85,60.34
Mon Nov 25 13:38:51 2019,normal,0.72,68.57,94.58,,water,0.93,56.72,60.52
Mon Nov 25 13:38:52 2019,normal,0.73,69.3,94.6,,water,0.94,58.02,61.18
Mon Nov 25 13:38:53 2019,normal,0.72,68.44,94.56,,water,0.94,57.63,61.15
Mon Nov 25 13:38:54 2019,normal,0.72,68.57,94.56,,water,0.94,57.89,61.16
Mon Nov 25 13:38:55 2019,normal,0.72,68.62,94.57,,water,0.93,57.63,61.97
Mon Nov 25 13:38:56 2019,normal,0.72,68.3,94.54,,water,0.93,57.89,61.8
Mon Nov 25 13:38:57 2019,normal,0.72,68.3,94.57,,water,0.92,58.07,62.82
Mon Nov 25 13:38:58 2019,normal,0.72,68.3,94.56,,water,0.94,59.33,62.8
Mon Nov 25 13:38:59 2019,normal,0.72,68.35,94.54,,water,0.93,59.2,63.31
Mon Nov 25 13:39:00 2019,normal,0.72,68.44,94.56,,water,0.92,58.81,63.51
Mon Nov 25 13:39:01 2019,normal,0.72,68.3,94.54,,water,0.93,59.11,63.47
Mon Nov 25 13:39:02 2019,normal,0.74,70.8,95.01,,water,0.91,58.33,63.46
Mon Nov 25 13:39:03 2019,normal,0.72,68.44,94.91,,water,0.92,58.98,63.52
Mon Nov 25 13:39:04 2019,normal,0.71,68.17,94.92,,water,0.92,58.98,63.85
Mon Nov 25 13:39:05 2019,normal,0.71,67.62,94.15,,water,0.93,58.46,62.49
Mon Nov 25 13:39:06 2019,normal,0.71,67.76,94.13,,water,0.93,58.54,62.45
Mon Nov 25 13:39:07 2019,normal,0.71,67.49,94.49,,water,0.92,57.55,62.49
Mon Nov 25 13:39:08 2019,normal,0.71,68.17,95.23,,water,0.94,58.98,62.48
Mon Nov 25 13:39:09 2019,normal,0.71,67.9,95.21,,water,0.93,58.41,62.66
Mon Nov 25 13:39:10 2019,normal,0.69,67.08,95.91,,water,0.94,59.37,62.85
Mon Nov 25 13:39:11 2019,normal,0.72,67.71,93.12,,water,0.94,59.63,62.89
Mon Nov 25 13:39:12 2019,normal,0.69,67.08,95.91,,water,0.95,59.89,62.84
Mon Nov 25 13:39:13 2019,normal,0.69,67.03,95.92,,water,0.95,59.76,62.82
Mon Nov 25 13:39:14 2019,normal,0.75,70.26,93.2,,water,0.96,60.94,62.89
Mon Nov 25 13:39:15 2019,normal,0.72,67.62,93.79,,water,0.94,59.63,63.22
Mon Nov 25 13:39:16 2019,normal,0.72,68.44,94.19,,water,0.94,60.16,63.38
Mon Nov 25 13:39:17 2019,normal,0.72,68.03,94.14,,water,0.93,59.11,63.38
Mon Nov 25 13:39:18 2019,normal,0.71,67.3,94.13,,water,0.93,58.85,63.2
Mon Nov 25 13:39:19 2019,normal,0.72,67.95,94.17,,water,0.92,58.85,63.34
